0,0,0
3,2,50
3,2,25
3,4,50
3,4,100
3,4,25
3,8,50
3,8,100
3,2,100
3,8,25
0,0,0
1,2,50
1,2,25
1,4,50
1,4,100
1,4,25
1,8,50
1,8,100
1,2,100
1,8,25
0,0,0
2,2,50
2,2,25
2,4,50
2,4,100
2,4,25
2,8,50
2,8,100
2,2,100
2,8,25
0,0,0
2,2,100
2,8,25
2,2,50
2,2,25
2,4,25
2,8,50
2,4,100
2,8,100
2,4,50
0,0,0
1,2,100
1,8,25
1,2,50
1,2,25
1,4,25
1,8,50
1,4,100
1,8,100
1,4,50
0,0,0
3,2,100
3,8,25
3,2,50
3,2,25
3,4,25
3,8,50
3,4,100
3,8,100
3,4,50
0,0,0
3,8,100
3,8,25
3,2,25
3,2,100
3,4,50
3,8,50
3,4,100
3,4,25
3,2,50
0,0,0
1,8,100
1,8,25
1,2,25
1,2,100
1,4,50
1,8,50
1,4,100
1,4,25
1,2,50
0,0,0
2,8,100
2,8,25
2,2,25
2,2,100
2,4,50
2,8,50
2,4,100
2,4,25
2,2,50
0,0,0
2,2,25
2,4,25
2,8,100
2,4,100
2,2,100
2,2,50
2,8,50
2,4,50
2,8,25
0,0,0
1,2,25
1,4,25
1,8,100
1,4,100
1,2,100
1,2,50
1,8,50
1,4,50
1,8,25
0,0,0
3,2,25
3,4,25
3,8,100
3,4,100
3,2,100
3,2,50
3,8,50
3,4,50
3,8,25
0,0,0
1,4,50
1,8,25
1,2,50
1,2,25
1,4,25
1,4,100
1,2,100
1,8,100
1,8,50
0,0,0
2,4,50
2,8,25
2,2,50
2,2,25
2,4,25
2,4,100
2,2,100
2,8,100
2,8,50
0,0,0
3,4,50
3,8,25
3,2,50
3,2,25
3,4,25
3,4,100
3,2,100
3,8,100
3,8,50
0,0,0
1,4,100
1,8,50
1,2,100
1,2,50
1,4,25
1,8,100
1,2,25
1,4,50
1,8,25
0,0,0
3,4,100
3,8,50
3,2,100
3,2,50
3,4,25
3,8,100
3,2,25
3,4,50
3,8,25
0,0,0
2,4,100
2,8,50
2,2,100
2,2,50
2,4,25
2,8,100
2,2,25
2,4,50
2,8,25
0,0,0
3,4,50
3,2,100
3,2,25
3,2,50
3,8,50
3,8,100
3,8,25
3,4,100
3,4,25
0,0,0
2,4,50
2,2,100
2,2,25
2,2,50
2,8,50
2,8,100
2,8,25
2,4,100
2,4,25
0,0,0
1,4,50
1,2,100
1,2,25
1,2,50
1,8,50
1,8,100
1,8,25
1,4,100
1,4,25
0,0,0
3,8,50
3,8,25
3,4,100
3,8,100
3,2,50
3,4,50
3,2,25
3,2,100
3,4,25
0,0,0
1,8,50
1,8,25
1,4,100
1,8,100
1,2,50
1,4,50
1,2,25
1,2,100
1,4,25
0,0,0
2,8,50
2,8,25
2,4,100
2,8,100
2,2,50
2,4,50
2,2,25
2,2,100
2,4,25
0,0,0
1,8,25
1,2,100
1,4,25
1,8,100
1,4,50
1,4,100
1,8,50
1,2,25
1,2,50
0,0,0
2,8,25
2,2,100
2,4,25
2,8,100
2,4,50
2,4,100
2,8,50
2,2,25
2,2,50
0,0,0
3,8,25
3,2,100
3,4,25
3,8,100
3,4,50
3,4,100
3,8,50
3,2,25
3,2,50
0,0,0
2,2,100
2,8,50
2,4,25
2,2,25
2,8,100
2,4,50
2,2,50
2,4,100
2,8,25
0,0,0
1,2,100
1,8,50
1,4,25
1,2,25
1,8,100
1,4,50
1,2,50
1,4,100
1,8,25
0,0,0
3,2,100
3,8,50
3,4,25
3,2,25
3,8,100
3,4,50
3,2,50
3,4,100
3,8,25
